icao,name,city,state,country,lat,lon
KPEX,Paynesville Municipal Airport,Paynesville,Minnesota,US,45.3722991943,-94.74659729
KPEZ,Pleasanton Municipal Airport,Pleasanton,Texas,US,28.9542007446,-98.5199966431
KPFC,Pacific City State Airport,Pacific City,Oregon,US,45.199798584,-123.961997986
KPFN,Panama City-Bay Co International Airport,Panama City,Florida,US,30.2120990753,-85.682800293
KPGA,Page Municipal Airport,Page,Arizona,US,36.92610168,-111.447998
KPGD,Punta Gorda Airport,Punta Gorda,Florida,US,26.92020035,-81.9905014
KPGR,Kirk Field,Paragould,Arkansas,US,36.06290054,-90.50779724
KPGV,Pitt Greenville Airport,Greenville,North Carolina,US,35.6352005,-77.38529968
KPHD,Harry Clever Field,New Philadelphia,Ohio,US,40.4709014893,-81.4197006226
KPHF,Newport News Williamsburg International Airport,Newport News,Virginia,US,37.13190079,-76.49299622
KPHG,Phillipsburg Municipal Airport,Phillipsburg,Kansas,US,39.7358016968,-99.3171005249
KPHH,Robert F Swinnie Airport,Andrews,South Carolina,US,33.4516983032,-79.5261993408
KPHK,Palm Beach Co Glades Airport,Pahokee,Florida,US,26.78499985,-80.69339752
KPHL,Philadelphia International Airport,Philadelphia,Pennsylvania,US,39.8718986511,-75.2410964966
KPHN,St Clair County International Airport,Port Huron,Michigan,US,42.9109993,-82.52890015
KPHP,Philip Airport,Philip,South Dakota,US,44.0485992432,-101.5989990234
KPHT,Henry County Airport,Paris,Tennessee,US,36.3381996155,-88.3828964233
KPHX,Phoenix Sky Harbor International Airport,Phoenix,Arizona,US,33.434299469,-112.0120010376
KPIA,Greater Peoria Regional Airport,Peoria,Illinois,US,40.6641998291,-89.6932983398
KPIB,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,Mississippi,US,31.4671001434,-89.337097168
KPIE,St Petersburg Clearwater International Airport,St Petersburg-Clearwater,Florida,US,27.91020012,-82.68740082
KPIH,Pocatello Regional Airport,Pocatello,Idaho,US,42.9098014832,-112.5960006714
KPIL,Port Isabel Cameron County Airport,Port Isabel,Texas,US,26.1662006378,-97.3459014893
KPIM,Harris County Airport,Pine Mountain,Georgia,US,32.8406982422,-84.8824005127
KPIR,Pierre Regional Airport,Pierre,South Dakota,US,44.38270187,-100.2860031
KPIT,Pittsburgh International Airport,Pittsburgh,Pennsylvania,US,40.49150085,-80.23290253
KPJC,Zelienople Municipal Airport,Zelienople,Pennsylvania,US,40.80160141,-80.16069794
KPJY,Pinckneyville Du Quoin Airport,Pinckneyville,Illinois,US,37.9779014587,-89.360496521
KPKB,Mid Ohio Valley Regional Airport,Parkersburg,West Virginia,US,39.3451004028,-81.439201355
KPKD,Park Rapids Municipal Konshok Field,Park Rapids,Minnesota,US,46.90060043,-95.07309723
KPKF,Park Falls Municipal Airport,Park Falls,Wisconsin,US,45.9550018311,-90.4244003296
KPKV,Calhoun County Airport,Port Lavaca,Texas,US,28.65399933,-96.6812973
KPLD,Portland Municipal Airport,Portland,Indiana,US,40.45080185,-84.99009705
KPLK,M. Graham Clark-Taney County Airport,Point Lookout,Missouri,US,36.62590027,-93.22889709
KPLN,Pellston Regional Airport of Emmet County Airport,Pellston,Michigan,US,45.57089996,-84.79669952
KPLR,St Clair County Airport,Pell City,Alabama,US,33.5587997437,-86.2490997314
KPLU,Pierce County-Thun Field,Puyallup,Washington,US,47.1039009094,-122.2870025635
KPMB,Pembina Municipal Airport,Pembina,North Dakota,US,48.9425010681,-97.2407989502
KPMD,Palmdale Regional/USAF Plant 42 Airport,Palmdale,California,US,34.62939835,-118.0849991
KPMH,Greater Portsmouth Regional Airport,Portsmouth,Ohio,US,38.8404998779,-82.8472976685
KPMP,Pompano Beach Airpark,Pompano Beach,Florida,US,26.2471008301,-80.1110992432
KPMU,Panola County Airport,Batesville,Mississippi,US,34.36349869,-89.89260101
KPMV,Plattsmouth Municipal Airport,Plattsmouth,Nebraska,US,40.95019913,-95.91790009
KPMZ,Plymouth Municipal Airport,Plymouth,North Carolina,US,35.8083992004,-76.7593002319
KPNA,Ralph Wenz Field,Pinedale,Wyoming,US,42.79550171,-109.8069992
KPNC,Ponca City Regional Airport,Ponca City,Oklahoma,US,36.73199844,-97.09980011
